feature_identifier,neighborhood_district,puma,state,country
01001020100,,0102100,alabama,united_states
01001020200,,0102100,alabama,united_states
01001020300,,0102100,alabama,united_states
01001020400,,0102100,alabama,united_states
01001020500,,0102100,alabama,united_states
01001020600,,0102100,alabama,united_states
01001020700,,0102100,alabama,united_states
01001020801,,0102100,alabama,united_states
01001020802,,0102100,alabama,united_states
01001020900,,0102100,alabama,united_states
01001021000,,0102100,alabama,united_states
01001021100,,0102100,alabama,united_states
01003010100,,0102600,alabama,united_states
01003010200,,0102600,alabama,united_states
01003010300,,0102600,alabama,united_states
01003010400,,0102600,alabama,united_states
01003010500,,0102600,alabama,united_states
01003010600,,0102600,alabama,united_states
01003010701,,0102600,alabama,united_states
01003010703,,0102600,alabama,united_states
01003010704,,0102600,alabama,united_states
01003010705,,0102600,alabama,united_states
01003010800,,0102600,alabama,united_states
01003010903,,0102600,alabama,united_states
01003010904,,0102600,alabama,united_states
01003010905,,0102600,alabama,united_states
01003010906,,0102600,alabama,united_states
01003011000,,0102600,alabama,united_states
01003011101,,0102600,alabama,united_states
01003011102,,0102600,alabama,united_states
01003011201,,0102600,alabama,united_states
01003011202,,0102600,alabama,united_states
01003011300,,0102600,alabama,united_states
01003011401,,0102600,alabama,united_states
01003011403,,0102600,alabama,united_states
01003011405,,0102600,alabama,united_states
01003011406,,0102600,alabama,united_states
01003011407,,0102600,alabama,united_states
01003011408,,0102600,alabama,united_states
01003011501,,0102600,alabama,united_states
01003011502,,0102600,alabama,united_states
01003011601,,0102600,alabama,united_states
01003011602,,0102600,alabama,united_states
01003990000,,0102600,alabama,united_states
01005950100,,0102400,alabama,united_states
01005950200,,0102400,alabama,united_states
01005950300,,0102400,alabama,united_states
01005950400,,0102400,alabama,united_states
01005950500,,0102400,alabama,united_states
01005950600,,0102400,alabama,united_states
01005950700,,0102400,alabama,united_states
01005950800,,0102400,alabama,united_states
01005950900,,0102400,alabama,united_states
01007010001,,0101700,alabama,united_states
01007010002,,0101700,alabama,united_states
01007010003,,0101700,alabama,united_states
01007010004,,0101700,alabama,united_states
01009050101,,0100800,alabama,united_states
01009050102,,0100800,alabama,united_states
01009050200,,0100800,alabama,united_states
01009050300,,0100800,alabama,united_states
01009050400,,0100800,alabama,united_states
01009050500,,0100800,alabama,united_states
01009050601,,0100800,alabama,united_states
01009050602,,0100800,alabama,united_states
01009050700,,0100800,alabama,united_states
01011952100,,0102400,alabama,united_states
01011952200,,0102400,alabama,united_states
01011952500,,0102400,alabama,united_states
01013952700,,0102300,alabama,united_states
01013952800,,0102300,alabama,united_states
01013952900,,0102300,alabama,united_states
01013953000,,0102300,alabama,united_states
01013953100,,0102300,alabama,united_states
01013953200,,0102300,alabama,united_states
01013953300,,0102300,alabama,united_states
01013953400,,0102300,alabama,united_states
01013953500,,0102300,alabama,united_states
01015000200,,0101100,alabama,united_states
01015000300,,0101100,alabama,united_states
01015000400,,0101100,alabama,united_states
01015000500,,0101100,alabama,united_states
01015000600,,0101100,alabama,united_states
